Address:,USB0::0x0957::0x179B::MY54313425::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.003125,0.0208040185680147,-0.00647236133227125,
,,,-0.0028125,0.0212663300917484,-0.00554773828480393,
,,,-0.0025,0.0221909531392157,-0.00554773828480393,
,,,-0.0021875,0.0226532646629494,-0.00508542676107027,
,,,-0.001875,0.0235778877104167,-0.00693467285600491,
,,,-0.0015625,0.024502510757884,-0.00647236133227125,
,,,-0.00125,0.0254271338053513,-0.00693467285600491,
,,,-0.000937500000000001,0.0268140683765523,-0.00693467285600491,
,,,-0.000625000000000001,0.0277386914240196,-0.00647236133227125,
,,,-0.0003125,0.028663314471487,-0.00693467285600491,
,,,0,0.0300502490426879,-0.00647236133227125,
,,,0.0003125,0.0309748720901553,-0.00693467285600491,
,,,0.000625000000000001,0.0318994951376226,-0.00647236133227125,
,,,0.000937500000000001,0.0332864297088236,-0.00693467285600491,
,,,0.00125,0.0346733642800245,-0.00601004980853759,
,,,0.0015625,0.0355979873274919,-0.00693467285600491,
,,,0.001875,0.0374472334224265,-0.00647236133227125,
,,,0.0021875,0.0383718564698938,-0.00693467285600491,
,,,0.0025,0.0402211025648285,-0.00693467285600491,
,,,0.0028125,0.0416080371360295,-0.00924623047467321,
,,,0.003125,0.0429949717072304,-0.00832160742720589,
,,,0.0034375,0.0448442178021651,-0.00832160742720589,
,,,0.00375,0.0462311523733661,-0.00832160742720589,
,,,0.0040625,0.0480803984683007,-0.00785929590347223,
,,,0.004375,0.0499296445632353,-0.00785929590347223,
,,,0.0046875,0.05177889065817,-0.00785929590347223,
,,,0.005,0.0536281367531046,-0.00832160742720589,
,,,0.0053125,0.0559396943717729,-0.00739698437973857,
,,,0.005625,0.0582512519904412,-0.00647236133227125,
,,,0.0059375,0.0605628096091095,-0.00508542676107027,
,,,0.00625,0.0628743672277778,-0.00554773828480393,
,,,0.0065625,0.0651859248464461,-0.00554773828480393,
,,,0.006875,0.0674974824651144,-0.00554773828480393,
,,,0.0071875,0.0702713516075164,-0.00508542676107027,
,,,0.0075,0.0730452207499184,-0.00508542676107027,
,,,0.0078125,0.0758190898923203,-0.00554773828480393,
,,,0.008125,0.079055270558456,-0.00508542676107027,
,,,0.0084375,0.0818291397008579,-0.00462311523733661,
,,,0.00875,0.0850653203669935,-0.00416080371360295,
,,,0.0090625,0.0883015010331292,-0.00416080371360295,
,,,0.009375,0.0915376816992648,-0.00416080371360295,
,,,0.0096875,0.0952361738891341,-0.00416080371360295,
,,,0.01,0.0989346660790034,-0.00508542676107027,
,,,0.0103125,0.102633158268873,-0.00462311523733661,
,,,0.010625,0.106793961982476,-0.00416080371360295,
,,,0.0109375,0.110954765696079,-0.00369849218986928,
,,,0.01125,0.115115569409681,-0.00323618066613562,
,,,0.0115625,0.119276373123284,-0.00462311523733661,
,,,0.011875,0.123899488360621,-0.00369849218986928,
,,,0.0121875,0.128060292074224,-0.00508542676107027,
,,,0.0125,0.133145718835294,-0.00277386914240196,
,,,0.0128125,0.137768834072631,-0.00138693457120098,
,,,0.013125,0.142854260833701,-0.000924623047467321,
,,,0.0134375,0.147939687594771,-0.00184924609493464,
,,,0.01375,0.153949737403309,-0.00277386914240196,
,,,0.0140625,0.159035164164379,-0.00323618066613562,
,,,0.014375,0.164582902449183,-0.00277386914240196,
,,,0.0146875,0.170130640733987,-0.00277386914240196,
,,,0.015,0.176140690542525,-0.00323618066613562,
,,,0.0153125,0.181226117303595,-0.00323618066613562,
,,,0.015625,0.187236167112133,-0.00323618066613562,
,,,0.0159375,0.193708528444404,-0.00416080371360295,
,,,0.01625,0.199718578252941,-0.00508542676107027,
,,,0.0165625,0.206190939585213,-0.00508542676107027,
,,,0.016875,0.21220098939375,-0.00508542676107027,
,,,0.0171875,0.21728641615482,-0.00462311523733661,
,,,0.0175,0.223296465963358,-0.00462311523733661,
,,,0.0178125,0.229306515771896,-0.00462311523733661,
,,,0.018125,0.235316565580433,-0.00508542676107027,
,,,0.0184375,0.240864303865237,-0.00508542676107027,
,,,0.01875,0.245487419102574,-0.00508542676107027,
,,,0.0190625,0.251035157387378,-0.00554773828480393,
,,,0.019375,0.256120584148448,-0.00554773828480393,
,,,0.0196875,0.260281387862051,-0.00508542676107027,
,,,0.02,0.264904503099388,-0.00601004980853759,
,,,0.0203125,0.269527618336724,-0.00369849218986928,
,,,0.020625,0.273688422050327,-0.00462311523733661,
,,,0.0209375,0.277386914240196,-0.00508542676107027,
,,,0.02125,0.281085406430066,-0.00508542676107027,
,,,0.0215625,0.284321587096201,-0.00601004980853759,
,,,0.021875,0.287095456238603,-0.00508542676107027,
,,,0.0221875,0.289869325381005,-0.00554773828480393,
,,,0.0225,0.292180882999673,-0.00508542676107027,
,,,0.0228125,0.294492440618342,-0.00785929590347223,
,,,0.023125,0.295879375189543,-0.00693467285600491,
,,,0.0234375,0.297728621284477,-0.00832160742720589,
,,,0.02375,0.299115555855678,-0.00601004980853759,
,,,0.0240625,0.300040178903146,-0.00554773828480393,
,,,0.024375,0.301427113474347,-0.00601004980853759,
,,,0.0246875,0.301427113474347,-0.00554773828480393,
,,,0.025,0.30188942499808,-0.00601004980853759,
,,,0.0253125,0.30188942499808,-0.00462311523733661,
,,,0.025625,0.301427113474347,-0.00462311523733661,
,,,0.0259375,0.300964801950613,-0.00369849218986928,
,,,0.02625,0.300040178903146,-0.00416080371360295,
,,,0.0265625,0.298653244331945,-0.00277386914240196,
,,,0.026875,0.297266309760744,-0.00277386914240196,
,,,0.0271875,0.295417063665809,-0.00277386914240196,
,,,0.0275,0.293567817570874,-0.00277386914240196,
,,,0.0278125,0.290793948428473,-0.00323618066613562,
,,,0.028125,0.288020079286071,-0.0023115576186683,
,,,0.0284375,0.284783898619935,-0.00277386914240196,
,,,0.02875,0.281085406430066,-0.0023115576186683,
,,,0.0290625,0.277386914240196,-0.0023115576186683,
,,,0.029375,0.27276379900286,-0.00184924609493464,
,,,0.0296875,0.268140683765523,-0.00277386914240196,
,,,0.03,0.263055257004453,-0.000924623047467321,
,,,0.0303125,0.257507518719649,-0.00138693457120098,
,,,0.030625,0.251959780434845,-0.00138693457120098,
,,,0.0309375,0.245949730626307,-0.00138693457120098,
,,,0.03125,0.239015057770303,-0.00138693457120098,
,,,0.0315625,0.232542696438031,-0.00184924609493464,
,,,0.031875,0.225145712058293,-0.00138693457120098,
,,,0.0321875,0.218673350726021,-0.00138693457120098,
,,,0.0325,0.21220098939375,-0.00138693457120098,
,,,0.0328125,0.204804005014012,0.00138693457120098,
,,,0.033125,0.197407020634273,0.000924623047467321,
,,,0.0334375,0.190010036254534,0.000462311523733661,
,,,0.03375,0.182613051874796,0.000462311523733661,
,,,0.0340625,0.175678379018791,0.000462311523733661,
,,,0.034375,0.168743706162786,0.000462311523733661,
,,,0.0346875,0.161346721783048,0.000462311523733661,
,,,0.035,0.154874360450776,0,
,,,0.0353125,0.147015064547304,-0.000462311523733661,
,,,0.035625,0.139618080167565,-0.000462311523733661,
,,,0.0359375,0.132683407311561,-0.00138693457120098,
,,,0.03625,0.126211045979289,-0.00184924609493464,
,,,0.0365625,0.119738684647018,-0.000462311523733661,
,,,0.036875,0.113728634838481,-0.000924623047467321,
,,,0.0371875,0.107256273506209,-0.000924623047467321,
,,,0.0375,0.100783912173938,-0.000924623047467321,
,,,0.0378125,0.0947738623654004,0,
,,,0.038125,0.0883015010331292,-0.00138693457120098,
,,,0.0384375,0.0822914512245916,-0.00138693457120098,
,,,0.03875,0.076281401416054,-0.000924623047467321,
,,,0.0390625,0.0702713516075164,-0.00138693457120098,
,,,0.039375,0.0651859248464461,-0.00138693457120098,
,,,0.0396875,0.0587135635141749,-0.00138693457120098,
,,,0.04,0.053165825229371,-0.00138693457120098,
,,,0.0403125,0.0471557754208334,0,
,,,0.040625,0.0420703486597631,0,
,,,0.0409375,0.0365226103749592,0,
,,,0.04125,0.0309748720901553,0,
,,,0.0415625,0.0254271338053513,-0.000462311523733661,
,,,0.041875,0.0198793955205474,0.000924623047467321,
,,,0.0421875,0.0138693457120098,0,
,,,0.0425,0.00832160742720589,0.000924623047467321,
,,,0.0428125,0.00277386914240196,-0.00138693457120098,
,,,0.043125,-0.00323618066613562,0,
,,,0.0434375,-0.00832160742720589,-0.000924623047467321,
,,,0.04375,-0.0138693457120098,0.000462311523733661,
,,,0.0440625,-0.0198793955205474,0.000462311523733661,
,,,0.044375,-0.0254271338053513,0.000924623047467321,
,,,0.0446875,-0.0318994951376226,0.00138693457120098,
,,,0.045,-0.0379095449461602,0.00184924609493464,
,,,0.0453125,-0.0443819062784314,0.00277386914240196,
,,,0.045625,-0.0508542676107027,0.00416080371360295,
