Frank-Hertz Experiment		
		
Vr(V)= 1.5		
Cathode Heater Current (mA) = 310		
		 
Va(V)_1	Ia(E-12 A)_1	T(c)_1
9.78	1.28	169.91
9.81	1.39	169.91
9.84	1.21	169.91
9.87	1.48	169.91
9.90	1.37	169.92
9.93	1.37	169.92
9.96	1.61	169.92
9.99	1.63	169.92
10.02	1.71	169.91
10.05	1.75	169.91
10.08	1.71	169.91
10.11	1.78	169.91
10.14	1.94	169.91
10.17	1.83	169.91
10.20	1.91	169.91
10.23	1.98	169.91
10.26	2.06	169.91
10.29	2.06	169.91
10.32	2.10	169.91
10.35	2.09	169.92
10.38	2.24	169.92
10.41	2.34	169.92
10.44	2.34	169.92
10.47	2.59	169.91
10.50	2.57	169.91
10.53	2.47	169.91
10.56	2.58	169.91
10.59	2.68	169.91
10.62	2.90	169.91
10.65	2.79	169.91
10.68	2.74	169.91
10.71	2.93	169.91
10.74	3.01	169.91
10.77	2.96	169.91
10.80	3.08	169.91
10.83	3.02	169.91
10.86	2.54	169.91
10.89	2.67	169.92
10.92	2.64	169.92
10.95	2.01	169.91
10.98	20.22	169.91
11.01	5.09	169.92
11.04	3.59	169.92
11.07	3.86	169.91
11.10	3.83	169.91
11.13	3.83	169.91
11.16	3.55	169.91
11.19	3.52	169.91
11.22	3.51	169.91
11.25	3.42	169.91
11.28	3.19	169.91
11.31	3.20	169.91
11.34	3.10	169.91
11.37	3.02	169.91
11.40	2.86	169.91
11.43	2.82	169.91
11.46	2.59	169.91
11.49	2.60	169.91
11.52	2.46	169.91
11.55	2.29	169.91
11.58	2.08	169.91
11.61	2.06	169.91
11.64	2.08	169.91
11.67	1.88	169.91
11.70	1.75	169.91
11.73	1.89	169.91
11.76	1.68	169.91
11.79	1.83	169.91
11.82	1.65	169.91
11.85	1.54	169.91
11.88	1.59	169.91
11.91	1.40	169.91
11.94	1.21	169.92
11.97	1.28	169.92
12.00	1.28	169.92
12.03	1.06	169.92
12.06	1.14	169.92
12.09	1.08	169.92
12.12	1.01	169.93
12.15	1.10	169.93
12.18	0.95	169.93
12.21	0.91	169.93
12.24	1.00	169.93
12.27	0.89	169.93
12.30	0.77	169.93
12.33	0.94	169.93
12.36	0.60	169.92
12.39	0.72	169.92
12.42	0.76	169.93
12.45	0.67	169.93
12.48	0.68	169.93
12.51	0.80	169.93
12.54	0.65	169.93
12.57	0.55	169.93
12.60	0.57	169.93
12.63	0.49	169.93
12.66	0.61	169.94
12.69	0.45	169.94
12.72	0.62	169.94
12.75	0.45	169.94
12.78	0.40	169.94
12.81	0.41	169.94
12.84	0.73	169.94
12.87	0.49	169.94
12.90	0.34	169.94
12.93	0.39	169.94
12.96	0.31	169.93
12.99	0.44	169.93
13.02	0.44	169.94
13.05	0.52	169.94
13.08	0.36	169.94
13.11	0.40	169.93
13.14	0.54	169.93
13.17	0.42	169.94
13.20	0.52	169.94
13.23	0.67	169.94
13.26	0.56	169.94
13.29	0.56	169.94
13.32	1.75	169.94
13.35	0.50	169.94
13.38	0.61	169.94
13.41	0.61	169.94
13.44	0.63	169.94
13.47	0.63	169.94
13.50	0.77	169.94
13.53	0.74	169.94
13.56	0.82	169.94
13.59	0.87	169.94
13.62	0.87	169.94
13.65	0.92	169.95
13.68	0.88	169.95
13.71	0.98	169.94
13.74	1.08	169.94
13.77	1.00	169.95
13.80	1.07	169.95
13.83	1.18	169.95
13.86	1.22	169.95
13.89	1.22	169.95
13.92	1.23	169.95
13.95	1.37	169.95
13.98	1.38	169.95
14.01	1.36	169.94
14.04	1.32	169.94
14.07	1.42	169.95
14.10	1.64	169.95
14.13	1.64	169.95
14.16	1.79	169.95
14.19	1.77	169.95
14.22	1.73	169.95
14.25	1.91	169.95
14.28	2.08	169.95
14.31	2.01	169.94
14.34	1.93	169.94
14.37	2.22	169.95
14.40	2.14	169.95
14.43	2.36	169.95
14.46	2.09	169.95
14.49	2.33	169.95
14.52	2.39	169.95
14.55	2.62	169.95
14.58	2.49	169.95
14.61	2.61	169.95
14.64	2.85	169.96
14.67	2.84	169.96
14.70	2.99	169.95
14.73	2.95	169.95
14.76	3.05	169.95
14.79	3.14	169.95
14.82	3.30	169.95
14.85	3.23	169.95
14.88	3.43	169.95
14.91	3.55	169.95
14.94	3.64	169.96
14.97	3.77	169.96
15.00	3.84	169.96
15.03	4.05	169.96
15.06	4.11	169.96
15.09	4.18	169.96
15.12	4.25	169.97
15.15	4.27	169.97
15.18	4.50	169.96
15.21	4.64	169.96
15.24	4.60	169.96
15.27	4.77	169.96
15.30	4.85	169.97
15.33	5.07	169.97
15.36	5.08	169.96
15.39	5.36	169.96
15.42	5.33	169.96
15.45	5.53	169.96
15.48	5.67	169.97
15.51	5.54	169.97
15.54	5.64	169.97
15.57	5.79	169.97
15.60	6.02	169.97
15.63	6.16	169.97
15.66	6.12	169.97
15.69	6.24	169.97
15.72	6.26	169.97
15.75	6.29	169.97
15.78	6.51	169.97
15.81	6.22	169.97
15.84	6.28	169.98
15.87	6.31	169.98
15.90	6.27	169.98
15.93	6.30	169.98
15.96	6.15	169.98
15.99	6.05	169.98
16.02	5.69	169.99
16.05	5.83	169.99
16.08	5.52	169.99
16.11	5.50	169.99
16.14	5.23	169.99
16.17	5.26	169.99
16.20	4.91	169.99
16.23	4.64	169.99
16.26	4.58	169.99
16.29	4.09	170.00
16.32	3.93	170.00
16.35	3.53	170.00
16.38	3.66	170.00
16.41	3.21	170.00
16.44	3.23	170.00
16.47	2.91	170.00
16.50	2.93	170.00
16.53	2.70	170.01
16.56	2.39	170.01
16.59	2.45	170.01
16.62	2.24	170.01
16.65	2.10	170.01
16.68	2.26	170.01
16.71	1.98	170.02
16.74	1.99	170.02
16.77	1.87	170.02
16.80	1.79	170.02
16.83	1.72	170.02
16.86	1.33	170.02
16.89	1.52	170.03
16.92	0.93	170.03
16.95	1.32	170.03
16.98	1.25	170.03
17.01	1.28	170.03
17.04	1.06	170.03
17.07	1.26	170.04
