Address:,USB0::0x0957::0x179B::MY54313425::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Source,CHAN1,,-0.01875,-0.000462311523733661,-0.00508542676107027,
Slope,EITH,,-0.0184375,-0.000462311523733661,-0.00416080371360295,
Level,6 mV V,,-0.018125,0,-0.00416080371360295,
,,,-0.0178125,0,-0.00369849218986928,
HORIZONTAL,,,-0.0175,0.000462311523733661,-0.00323618066613562,
Mode,MAIN,,-0.0171875,0.000462311523733661,-0.00138693457120098,
Ref,CENT,,-0.016875,0.000462311523733661,-0.00138693457120098,
Main Scale,30 ms/,,-0.0165625,0.000924623047467321,-0.00277386914240196,
Main Delay,118 ms,,-0.01625,0.000924623047467321,-0.0023115576186683,
,,,-0.0159375,0.000924623047467321,-0.00277386914240196,
ACQUISITION,,,-0.015625,0.00138693457120098,-0.0023115576186683,
Mode,HRES,,-0.0153125,0.00138693457120098,-0.0023115576186683,
RealTime,On,,-0.015,0.00184924609493464,-0.00277386914240196,
Vectors,On,,-0.0146875,0.00184924609493464,-0.00462311523733661,
Persistence,Off,,-0.014375,0.0023115576186683,-0.00508542676107027,
,,,-0.0140625,0.00277386914240196,-0.00647236133227125,
,,,-0.01375,0.00277386914240196,-0.00554773828480393,
,,,-0.0134375,0.00323618066613562,-0.00647236133227125,
,,,-0.013125,0.00369849218986928,-0.00508542676107027,
,,,-0.0128125,0.00369849218986928,-0.00601004980853759,
,,,-0.0125,0.00416080371360295,-0.00601004980853759,
,,,-0.0121875,0.00462311523733661,-0.00739698437973857,
,,,-0.011875,0.00462311523733661,-0.00647236133227125,
,,,-0.0115625,0.00508542676107027,-0.00785929590347223,
,,,-0.01125,0.00554773828480393,-0.00832160742720589,
,,,-0.0109375,0.00601004980853759,-0.00878391895093955,
,,,-0.010625,0.00647236133227125,-0.00832160742720589,
,,,-0.0103125,0.00647236133227125,-0.00832160742720589,
,,,-0.01,0.00647236133227125,-0.00832160742720589,
,,,-0.0096875,0.00693467285600491,-0.00739698437973857,
,,,-0.009375,0.00739698437973857,-0.00878391895093955,
,,,-0.0090625,0.00785929590347223,-0.00832160742720589,
,,,-0.00875,0.00785929590347223,-0.0101708535221405,
,,,-0.0084375,0.00832160742720589,-0.0101708535221405,
,,,-0.008125,0.00878391895093955,-0.00970854199840687,
,,,-0.0078125,0.00924623047467321,-0.00924623047467321,
,,,-0.0075,0.00970854199840687,-0.0101708535221405,
,,,-0.0071875,0.0101708535221405,-0.0120200996170752,
,,,-0.006875,0.0106331650458742,-0.0129447226645425,
,,,-0.0065625,0.0110954765696079,-0.0110954765696079,
,,,-0.00625,0.0115577880933415,-0.0115577880933415,
,,,-0.0059375,0.0120200996170752,-0.0106331650458742,
,,,-0.005625,0.0124824111408088,-0.0115577880933415,
,,,-0.0053125,0.0129447226645425,-0.0110954765696079,
,,,-0.005,0.0138693457120098,-0.0101708535221405,
,,,-0.0046875,0.0143316572357435,-0.0101708535221405,
,,,-0.004375,0.0147939687594771,-0.00878391895093955,
,,,-0.0040625,0.0152562802832108,-0.00878391895093955,
,,,-0.00375,0.0157185918069445,-0.00785929590347223,
,,,-0.0034375,0.0166432148544118,-0.00739698437973857,
,,,-0.003125,0.0175678379018791,-0.00785929590347223,
,,,-0.0028125,0.0180301494256128,-0.00739698437973857,
,,,-0.0025,0.0189547724730801,-0.00693467285600491,
,,,-0.0021875,0.0198793955205474,-0.00647236133227125,
,,,-0.001875,0.0203417070442811,-0.00739698437973857,
,,,-0.0015625,0.0212663300917484,-0.00554773828480393,
,,,-0.00125,0.0221909531392157,-0.00462311523733661,
,,,-0.000937500000000001,0.023115576186683,-0.00462311523733661,
,,,-0.000625000000000001,0.0240401992341504,-0.00416080371360295,
,,,-0.0003125,0.0249648222816177,-0.00369849218986928,
,,,0,0.025889445329085,-0.00416080371360295,
,,,0.0003125,0.0268140683765523,-0.00462311523733661,
,,,0.000625000000000001,0.0277386914240196,-0.00462311523733661,
,,,0.000937500000000001,0.028663314471487,-0.00416080371360295,
,,,0.00125,0.0295879375189543,-0.00416080371360295,
,,,0.0015625,0.0309748720901553,-0.00416080371360295,
,,,0.001875,0.0318994951376226,-0.00369849218986928,
,,,0.0021875,0.0332864297088236,-0.00416080371360295,
,,,0.0025,0.0346733642800245,-0.00323618066613562,
,,,0.0028125,0.0360602988512255,-0.00184924609493464,
,,,0.003125,0.0369849218986928,-0.00138693457120098,
,,,0.0034375,0.0383718564698938,-0.0023115576186683,
,,,0.00375,0.0397587910410948,-0.00138693457120098,
,,,0.0040625,0.0416080371360295,-0.00323618066613562,
,,,0.004375,0.0429949717072304,-0.00277386914240196,
,,,0.0046875,0.0443819062784314,-0.0023115576186683,
,,,0.005,0.0462311523733661,-0.00277386914240196,
,,,0.0053125,0.0480803984683007,-0.00416080371360295,
,,,0.005625,0.0499296445632353,-0.00508542676107027,
,,,0.0059375,0.0513165791344363,-0.00554773828480393,
,,,0.00625,0.053165825229371,-0.00647236133227125,
,,,0.0065625,0.0550150713243056,-0.00647236133227125,
,,,0.006875,0.0573266289429739,-0.00647236133227125,
,,,0.0071875,0.0596381865616422,-0.00647236133227125,
,,,0.0075,0.0619497441803105,-0.00693467285600491,
,,,0.0078125,0.0647236133227125,-0.00693467285600491,
,,,0.008125,0.0670351709413808,-0.00647236133227125,
,,,0.0084375,0.0693467285600491,-0.00785929590347223,
,,,0.00875,0.0721205977024511,-0.00878391895093955,
,,,0.0090625,0.0744321553211194,-0.00878391895093955,
,,,0.009375,0.077668335987255,-0.00785929590347223,
,,,0.0096875,0.0809045166533906,-0.00832160742720589,
,,,0.01,0.0836783857957926,-0.00924623047467321,
,,,0.0103125,0.0869145664619282,-0.00924623047467321,
,,,0.010625,0.0901507471280638,-0.00924623047467321,
,,,0.0109375,0.0933869277941994,-0.00878391895093955,
,,,0.01125,0.0970854199840687,-0.00970854199840687,
,,,0.0115625,0.100783912173938,-0.00924623047467321,
,,,0.011875,0.104020092840074,-0.00832160742720589,
,,,0.0121875,0.10864320807741,-0.0101708535221405,
,,,0.0125,0.11234170026728,-0.00970854199840687,
,,,0.0128125,0.116502503980882,-0.0120200996170752,
,,,0.013125,0.120663307694485,-0.0120200996170752,
,,,0.0134375,0.124824111408088,-0.0115577880933415,
,,,0.01375,0.128984915121691,-0.0110954765696079,
,,,0.0140625,0.134070341882762,-0.0106331650458742,
,,,0.014375,0.138693457120098,-0.0110954765696079,
,,,0.0146875,0.142854260833701,-0.00970854199840687,
,,,0.015,0.147939687594771,-0.0106331650458742,
,,,0.0153125,0.153487425879575,-0.00924623047467321,
,,,0.015625,0.158572852640646,-0.00785929590347223,
,,,0.0159375,0.163658279401716,-0.00924623047467321,
,,,0.01625,0.16920601768652,-0.00739698437973857,
,,,0.0165625,0.17429144444759,-0.00739698437973857,
,,,0.016875,0.17937687120866,-0.00693467285600491,
,,,0.0171875,0.184924609493464,-0.00693467285600491,
,,,0.0175,0.190472347778268,-0.00739698437973857,
,,,0.0178125,0.196482397586806,-0.00693467285600491,
,,,0.018125,0.20203013587161,-0.00647236133227125,
,,,0.0184375,0.207577874156414,-0.00554773828480393,
,,,0.01875,0.213125612441218,-0.00554773828480393,
,,,0.0190625,0.218211039202288,-0.00462311523733661,
,,,0.019375,0.223296465963358,-0.00462311523733661,
,,,0.0196875,0.228844204248162,-0.00462311523733661,
,,,0.02,0.233929631009232,-0.00416080371360295,
,,,0.0203125,0.239015057770303,-0.00416080371360295,
,,,0.020625,0.244100484531373,-0.00416080371360295,
,,,0.0209375,0.248261288244976,-0.00508542676107027,
,,,0.02125,0.252422091958579,-0.00462311523733661,
,,,0.0215625,0.256582895672182,-0.00369849218986928,
,,,0.021875,0.260281387862051,-0.00416080371360295,
,,,0.0221875,0.26397988005192,-0.00277386914240196,
,,,0.0225,0.267678372241789,-0.00369849218986928,
,,,0.0228125,0.270914552907925,-0.00184924609493464,
,,,0.023125,0.274150733574061,-0.00138693457120098,
,,,0.0234375,0.276924602716463,-0.000924623047467321,
