Address:,USB0::0x0957::0x179B::MY54313430::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),,Time (s),M1,
,,,0.0222625,16.5183914909139,12.1225525802001,,0.0222625,4.39593768212944,
,,,0.022425,16.5183914909139,12.1225525802001,,0.022425,4.39593768212944,
,,,0.0225875,16.5183914909139,12.1181304696947,,0.0225875,4.40015643229708,
,,,0.02275,16.5183914909139,12.1181304696947,,0.02275,4.40015643229708,
,,,0.0229125,16.5126125966199,12.1181304696947,,0.0229125,4.39453143207356,
,,,0.023075,16.5126125966199,12.1181304696947,,0.023075,4.39453143207356,
,,,0.0232375,16.5126125966199,12.1137083591893,,0.0232375,4.3987501822412,
,,,0.0234,16.5126125966199,12.1137083591893,,0.0234,4.3987501822412,
,,,0.0235625,16.5126125966199,12.1137083591893,,0.0235625,4.3987501822412,
,,,0.023725,16.5126125966199,12.1137083591893,,0.023725,4.3987501822412,
,,,0.0238875,16.5126125966199,12.1092862486839,,0.0238875,4.40296893240884,
,,,0.02405,16.5126125966199,12.1092862486839,,0.02405,4.40296893240884,
,,,0.0242125,16.5126125966199,12.1092862486839,,0.0242125,4.40296893240884,
,,,0.024375,16.5126125966199,12.1048641381785,,0.024375,4.40718768257648,
,,,0.0245375,16.5126125966199,12.1048641381785,,0.0245375,4.40718768257648,
,,,0.0247,16.5126125966199,12.1048641381785,,0.0247,4.40718768257648,
,,,0.0248625,16.5068337023258,12.1048641381785,,0.0248625,4.40156268235296,
,,,0.025025,16.5126125966199,12.1048641381785,,0.025025,4.40718768257648,
,,,0.0251875,16.5068337023258,12.1048641381785,,0.0251875,4.40156268235296,
,,,0.02535,16.5068337023258,12.1004420276731,,0.02535,4.4057814325206,
,,,0.0255125,16.5068337023258,12.1004420276731,,0.0255125,4.4057814325206,
,,,0.025675,16.5068337023258,12.0960199171677,,0.025675,4.41000018268824,
,,,0.0258375,16.5068337023258,12.0960199171677,,0.0258375,4.41000018268824,
,,,0.026,16.5068337023258,12.0960199171677,,0.026,4.41000018268824,
,,,0.0261625,16.5010548080318,12.0915978066623,,0.0261625,4.40859393263236,
,,,0.026325,16.5068337023258,12.0915978066623,,0.026325,4.41421893285587,
,,,0.0264875,16.5068337023258,12.0871756961569,,0.0264875,4.41843768302351,
,,,0.02665,16.5010548080318,12.0827535856515,,0.02665,4.41843768302351,
,,,0.0268125,16.5010548080318,12.0827535856515,,0.0268125,4.41843768302351,
,,,0.026975,16.5010548080318,12.0783314751461,,0.026975,4.42265643319115,
,,,0.0271375,16.5010548080318,12.0739093646407,,0.0271375,4.42687518335879,
,,,0.0273,16.5010548080318,12.0694872541353,,0.0273,4.43109393352643,
,,,0.0274625,16.5010548080318,12.0650651436299,,0.0274625,4.43531268369406,
,,,0.027625,16.5010548080318,12.0650651436299,,0.027625,4.43531268369406,
,,,0.0277875,16.5010548080318,12.0562209226191,,0.0277875,4.44375018402934,
,,,0.02795,16.4952759137377,12.0606430331245,,0.02795,4.43390643363819,
,,,0.0281125,16.4952759137377,12.0562209226191,,0.0281125,4.43812518380582,
,,,0.028275,16.4952759137377,12.0517988121137,,0.028275,4.44234393397346,
,,,0.0284375,16.4952759137377,12.0517988121137,,0.0284375,4.44234393397346,
,,,0.0286,16.4952759137377,12.0473767016083,,0.0286,4.44796893419698,
,,,0.0287625,16.4952759137377,12.0429545911029,,0.0287625,4.45218768436462,
,,,0.028925,16.4894970194437,12.0429545911029,,0.028925,4.4465626841411,
