Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.02333333336,-0.325125586998183,-0.0476256142137572,
MATH,,,-0.0232812500275,-0.324623074498959,-0.0399371720850468,
REFERENCE WAVEFORM,,,-0.023229166695,-0.323115537001286,-0.0433542574755847,
TRIGGER,,,-0.0231770833625,-0.321607999503613,-0.0604396844282746,
Sweep Mode,AUTO,,-0.02312500003,-0.320100462005939,-0.0604396844282746,
Coup,DC,,-0.0230729166975,-0.318592924508266,-0.0672738552093506,
Noise Rej,Off,,-0.023020833365,-0.316080362012144,-0.0587311417330056,
HF Rej,Off,,-0.0229687500325,-0.314070312015247,-0.0595854130806401,
Holdoff,40.0 ns,,-0.0229166667,-0.312060262018349,-0.0689823979046196,
Mode,EDGE,,-0.0228645833675,-0.309547699522227,-0.0518969709519297,
Source,CHAN1,,-0.022812500035,-0.306532624526881,-0.0595854130806401,
Slope,POS,,-0.0227604167025,-0.30301503703231,-0.0527512422995642,
Level,-8.23 mV V,,-0.02270833337,-0.299497449537739,-0.0689823979046196,
,,,-0.0226562500375,-0.295477349543944,-0.0706909405998886,
HORIZONTAL,,,-0.022604166705,-0.291457249550149,-0.0715452119475231,
Mode,MAIN,,-0.0225520833725,-0.287437149556354,-0.0758165686856955,
Ref,CENT,,-0.02250000004,-0.282914537063334,-0.0698366692522541,
Main Scale,5 ms/,,-0.0224479167075,-0.278391924570315,-0.0612939557759091,
Main Delay,0 s,,-0.022395833375,-0.273869312077295,-0.074962297338061,
,,,-0.0223437500425,-0.268844187085051,-0.0741080259904265,
ACQUISITION,,,-0.02229166671,-0.264321574592032,-0.0595854130806401,
Mode,HRES,,-0.0222395833775,-0.259296449599788,-0.0578768703853711,
RealTime,On,,-0.022187500045,-0.254271324607544,-0.0698366692522541,
Vectors,On,,-0.0221354167125,-0.2492461996153,-0.0527512422995642,
Persistence,Off,,-0.02208333338,-0.244221074623056,-0.0612939557759091,
,,,-0.0220312500475,-0.238693437131587,-0.0647110411664471,
MEASUREMENTS,,,-0.021979166715,-0.233165799640119,-0.0570225990377367,
Maximum(1),,,-0.0219270833825,-0.227638162148651,-0.0587311417330056,
Cur,0.347 V,,-0.02187500005,-0.222110524657182,-0.0672738552093506,
,,,-0.0218229167175,-0.216582887165714,-0.0604396844282746,
Minimum(1),,,-0.021770833385,-0.210552737175021,-0.0536055136471987,
Cur,-0.347 V,,-0.0217187500525,-0.205527612182777,-0.0578768703853711,
,,,-0.02166666672,-0.199999974691309,-0.0595854130806401,
,,,-0.0216145833875,-0.194472337199841,-0.0578768703853711,
,,,-0.021562500055,-0.188944699708372,-0.0442085288232192,
,,,-0.0215104167225,-0.183919574716128,-0.0493341569090262,
,,,-0.02145833339,-0.17839193722466,-0.0459170715184882,
,,,-0.0214062500575,-0.172864299733192,-0.0442085288232192,
,,,-0.021354166725,-0.167839174740948,-0.0561683276901022,
,,,-0.0213020833925,-0.162311537249479,-0.0544597849948332,
,,,-0.02125000006,-0.157286412257235,-0.0476256142137572,
,,,-0.0211979167275,-0.151758774765767,-0.0399371720850468,
,,,-0.021145833395,-0.146231137274299,-0.0416457147803158,
,,,-0.0210937500625,-0.141206012282055,-0.0399371720850468,
,,,-0.02104166673,-0.135678374790587,-0.0390829007374123,
,,,-0.0209895833975,-0.130150737299118,-0.0382286293897778,
,,,-0.020937500065,-0.125125612306874,-0.0518969709519297,
,,,-0.0208854167325,-0.119597974815406,-0.0407914434326813,
,,,-0.0208333334,-0.114070337323938,-0.0331030013039708,
,,,-0.0207812500675,-0.108542699832469,-0.0399371720850468,
