Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0406256,0.167236193083227,-0.000282673165202141,
,,,-0.0405248,0.183316593058407,-0.0203831754624844,
,,,-0.040424,0.199396993033588,-0.000282673165202141,
,,,-0.0403232,0.215477393008769,0.0198178291320801,
,,,-0.0402224,0.231557792983949,-0.0605841800570488,
,,,-0.0401216,0.239597992971539,-0.0404836777597666,
,,,-0.0400208,0.24763819295913,-0.000282673165202141,
,,,-0.03992,0.25567839294672,0.0399183314293623,
,,,-0.0398192,0.271758792921901,-0.080684682354331,
,,,-0.0397184,0.287839192897081,0.0801193360239267,
,,,-0.0396176,0.303919592872262,-0.000282673165202141,
,,,-0.0395168,0.319999992847443,0.0801193360239267,
,,,-0.039416,0.328040192835033,0.0198178291320801,
,,,-0.0393152,0.344120592810214,0.140420842915773,
,,,-0.0392144,0.360200992785394,0.240923354402184,
,,,-0.0391136,0.368241192772985,0.763536414131522,
,,,-0.0390128,0.392361792735755,0.984641939401627,
,,,-0.038912,0.408442192710936,0.421827875077724,
,,,-0.0388112,0.408442192710936,-0.000282673165202141,
,,,-0.0387104,0.432562792673707,-0.140986189246178,
,,,-0.0386096,0.448643192648888,-0.140986189246178,
,,,-0.0385088,0.456683392636478,-0.261589203029871,
,,,-0.038408,0.480803992599249,-0.140986189246178,
,,,-0.0383072,0.488844192586839,-0.16108669154346,
,,,-0.0382064,0.49688439257443,-0.221388198435307,
,,,-0.0381056,0.51296479254961,-0.181187193840742,
,,,-0.0380048,0.5210049925372,-0.181187193840742,
,,,-0.037904,0.545125592499971,-0.16108669154346,
,,,-0.0378032,0.553165792487562,-0.140986189246178,
,,,-0.0377024,0.561205992475152,-0.080684682354331,
,,,-0.0376016,0.577286392450333,-0.120885686948895,
,,,-0.0375008,0.593366792425513,-0.16108669154346,
,,,-0.0374,0.601406992413104,-0.120885686948895,
,,,-0.0372992,0.609447192400694,-0.120885686948895,
,,,-0.0371984,0.625527592375875,-0.080684682354331,
,,,-0.0370976,0.633567792363465,-0.0203831754624844,
,,,-0.0369968,0.641607992351055,-0.0404836777597666,
,,,-0.036896,0.657688392326236,-0.080684682354331,
,,,-0.0367952,0.665728592313826,-0.0404836777597666,
,,,-0.0366944,0.681808992289007,-0.0404836777597666,
,,,-0.0365936,0.697889392264187,-0.080684682354331,
,,,-0.0364928,0.705929592251778,-0.0203831754624844,
,,,-0.036392,0.705929592251778,0.0198178291320801,
,,,-0.0362912,0.722009992226958,-0.080684682354331,
,,,-0.0361904,0.730050192214549,-0.0605841800570488,
,,,-0.0360896,0.738090392202139,-0.0404836777597666,
