,Density [mg/cm^2],Thickness [mm],Counts,Time [sec],CPS
No Block,0,0,671,5,134.200
Al A,4.5,0.018,712,6,118.667
Al B ,6.5,0.025,700,6,116.667
Poly C,9.6,0.1,669,6,111.500
Poly D,19.2,0.2,644,6,107.333
Plastic E,59.1,0.76,613,8,76.625
Plastic F,102,1.02,625,9,69.444
Al G,141,0.51,660,10,66.000
