Shelf,Distance [mm],Counts,Time [sec],CPS
10 + 3,5.5,684,16,42.750
10 + 2.5,6,656,16,41.000
10 + 2.1,6.4,627,17,36.882
10 + 1.5,7,647,19,34.053
10 + 0.6,7.9,623,20,31.150
10,8.5,611,29,21.069
9 + 3,15,621,53,11.717
9 + 2.5,15.5,619,63,9.825
9 + 1.5,16.5,562,105,5.352
9 + 0.6,17.4,650,195,3.333
