Description	
Number of Runs	141
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	500
Step Voltage	5
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
129	1140	867	5	05/11/23 02:48:09 PM	
130	1145	881	5	05/11/23 02:48:14 PM	
131	1150	874	5	05/11/23 02:48:19 PM	
132	1155	834	5	05/11/23 02:48:25 PM	
133	1160	924	5	05/11/23 02:48:30 PM	
134	1165	903	5	05/11/23 02:48:35 PM	
135	1170	866	5	05/11/23 02:48:40 PM	
136	1175	853	5	05/11/23 02:48:45 PM	
137	1180	875	5	05/11/23 02:48:51 PM	
138	1185	912	5	05/11/23 02:48:56 PM	
139	1190	892	5	05/11/23 02:49:01 PM	
140	1195	895	5	05/11/23 02:49:06 PM	
141	1200	907	5	05/11/23 02:49:11 PM	
